satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD61594,ONEWEB-0015,72,1500,True,evaluated,1656,1502,154,9.2995,686,418,398,linear_bias_rate,2.390593,2.414566,-1.0028,closed,closed,closed,closed,closed,closed,2.428928,2.455486,0.026558,1.0934,-1.0934,187,211,0,0.469849,0.026558,0.048145,0.014211,0.038971,0.248925,1.0,0.34290689,125,0.008059,0.044455,True,6.419694,6.470061,8.210994,8.257677,0.0,0.0
NORAD61594,ONEWEB-0015,72,3000,False,evaluated,1656,1531,125,7.5483,715,418,398,linear_bias_rate,2.390593,2.678746,-12.0536,closed,closed,closed,closed,closed,closed,2.428928,2.652963,0.224035,9.2236,-9.2236,117,281,0,0.29397,0.224035,0.190233,0.18624,0.262169,0.0,0.0,0.0,125,0.166574,0.281309,True,6.419694,6.629233,8.210994,8.389397,0.0,0.0
NORAD61594,ONEWEB-0015,96,none,False,evaluated,1680,1680,0,0.0,856,420,404,linear_bias_rate,2.667518,10.390088,-289.5039,closed,closed,closed,closed,closed,closed,3.27862,10.629229,7.350609,224.1982,-224.1982,24,380,0,0.059406,7.350609,6.870874,6.788849,7.946495,0.0,0.0,0.0,127,6.654308,8.131892,True,8.638962,16.460764,10.77105,18.13103,0.0,0.0
NORAD61594,ONEWEB-0015,96,150,False,evaluated,1680,1354,326,19.4048,538,416,400,linear_bias_rate,2.050872,2.052558,-0.0822,closed,closed,closed,closed,closed,closed,2.799585,2.801851,0.002266,0.0809,-0.0809,169,231,0,0.4225,0.002266,0.005716,-0.000495,0.004959,0.002248,0.339448,0.005058,127,-0.001333,0.006009,False,7.38287,7.37529,9.152804,9.145927,0.0,0.0
NORAD61594,ONEWEB-0015,96,500,False,evaluated,1680,1427,253,15.0595,604,419,404,stale_age_ridge,2.330997,2.328405,0.1112,closed,closed,closed,closed,closed,closed,3.27862,3.273007,-0.005613,-0.1712,0.1712,248,156,0,0.613861,-0.005613,-0.013028,-0.012764,0.00199,5e-06,0.000875,1.406e-05,127,-0.012988,0.003255,False,8.638962,8.623081,10.77105,10.755168,0.0,0.0
NORAD61594,ONEWEB-0015,96,1500,True,evaluated,1680,1492,188,11.1905,668,420,404,stale_age_ridge,2.667518,2.660379,0.2676,closed,closed,closed,closed,closed,closed,3.27862,3.265702,-0.012918,-0.394,0.394,227,177,0,0.561881,-0.012918,-0.022475,-0.030745,0.004631,0.014673,1.0,0.02676831,127,-0.038071,0.012301,False,8.638962,8.667323,10.77105,10.796729,0.0,0.0
NORAD61594,ONEWEB-0015,96,3000,False,evaluated,1680,1522,158,9.4048,698,420,404,stale_age_ridge,2.667518,2.880333,-7.978,closed,closed,closed,closed,closed,closed,3.27862,3.472877,0.194257,5.925,-5.925,113,291,0,0.279703,0.194257,0.143813,0.152966,0.235234,0.0,0.0,0.0,127,0.14624,0.249804,True,8.638962,8.901292,10.77105,11.018869,0.0,0.0
NORAD61594,ONEWEB-0015,168,none,False,evaluated,1677,1677,0,0.0,852,421,404,stale_age_ridge,5.056065,13.237446,-161.8132,closed,closed,closed,closed,closed,closed,8.84915,16.74468,7.89553,89.2236,-89.2236,55,349,0,0.136139,7.89553,6.505404,7.120166,8.690614,0.0,0.0,0.0,127,6.837977,8.917416,True,23.124395,32.000344,29.542103,37.83602,0.000309,0.000309
NORAD61594,ONEWEB-0015,168,150,False,evaluated,1677,1262,415,24.7466,455,413,394,linear_bias_rate,4.568471,4.56715,0.0289,closed,closed,closed,closed,closed,closed,7.088684,7.089253,0.00057,0.008,-0.008,171,223,0,0.43401,0.00057,0.004895,-0.001384,0.002514,0.010099,1.0,0.01961676,126,-0.002448,0.003569,False,18.325809,18.320597,23.049225,23.043528,0.0,0.0
NORAD61594,ONEWEB-0015,168,500,False,evaluated,1677,1346,331,19.7376,522,421,403,linear_bias_rate,5.056065,5.061454,-0.1066,closed,closed,closed,closed,closed,closed,8.263608,8.271335,0.007727,0.0935,-0.0935,186,217,0,0.461538,0.007727,0.004965,0.001673,0.013843,0.13497,1.0,0.202455,127,-0.000846,0.015655,False,21.408905,21.384512,27.03792,27.012084,0.0,0.0
