satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD66704,FLOCK 4H 1,168,1500,True,evaluated,590,574,16,2.7119,338,128,108,stale_age_ridge,25.548971,25.508711,0.1576,closed,closed,closed,closed,closed,closed,22.841853,22.76626,-0.075594,-0.3309,0.3309,55,53,0,0.509259,-0.075594,-0.140085,-0.172104,0.017355,0.923401,1.0,0.95891642,42,-0.223578,0.066831,False,63.738396,63.640918,88.264324,88.173561,0.000386,0.000386
NORAD66705,FLOCK 4H 2,8,1500,True,evaluated,478,475,3,0.6276,291,113,71,linear_bias_rate,0.264666,0.270508,-2.2072,closed,closed,closed,closed,closed,closed,0.26135,0.267923,0.006573,2.5149,-2.5149,27,44,0,0.380282,0.006573,0.004896,0.002643,0.010652,0.056815,1.0,0.08765743,33,0.002138,0.011819,True,0.721591,0.719042,0.987416,0.984339,0.0,0.0
NORAD66705,FLOCK 4H 2,24,1500,True,evaluated,605,602,3,0.4959,363,136,103,stale_age_ridge,0.753891,0.763163,-1.2299,closed,closed,closed,closed,closed,closed,0.8325,0.845347,0.012847,1.5432,-1.5432,40,63,0,0.38835,0.012847,0.011519,0.00647,0.019669,0.029682,0.801414,0.05526993,40,0.006116,0.019221,True,2.355187,2.350959,3.095234,3.085372,0.0,0.0
NORAD66705,FLOCK 4H 2,48,1500,True,evaluated,616,610,6,0.974,369,137,104,stale_age_ridge,1.962958,1.954271,0.4425,closed,closed,closed,closed,closed,closed,2.378284,2.361672,-0.016612,-0.6985,0.6985,61,43,0,0.586538,-0.016612,-0.039927,-0.027856,-0.004121,0.095044,1.0,0.142566,42,-0.031384,-7e-05,True,6.748299,6.749898,9.651576,9.652544,0.0,0.0
NORAD66705,FLOCK 4H 2,72,1500,True,evaluated,615,607,8,1.3008,367,137,103,stale_age_ridge,4.652748,4.628152,0.5286,closed,closed,closed,closed,closed,closed,5.287774,5.258994,-0.02878,-0.5443,0.5443,55,48,0,0.533981,-0.02878,-0.072933,-0.079468,0.019639,0.554601,1.0,0.63720115,41,-0.096919,0.036891,False,14.952954,14.89372,19.982296,19.927775,0.0,0.0
NORAD66705,FLOCK 4H 2,96,1500,True,evaluated,614,607,7,1.1401,365,139,103,stale_age_ridge,7.717658,7.697849,0.2567,closed,closed,closed,closed,closed,closed,7.39509,7.406725,0.011635,0.1573,-0.1573,63,40,0,0.61165,0.011635,-0.023312,-0.022471,0.050046,0.029682,0.801414,0.05526993,42,-0.034469,0.060474,False,20.702668,20.713968,27.073268,27.078027,0.0,0.0
NORAD66705,FLOCK 4H 2,168,1500,True,evaluated,609,595,14,2.2989,349,139,107,stale_age_ridge,25.129161,25.093766,0.1408,closed,closed,closed,closed,closed,closed,23.327209,23.239561,-0.087648,-0.3757,0.3757,64,43,0,0.598131,-0.087648,-0.103547,-0.164708,-0.010448,0.052668,1.0,0.086184,43,-0.192036,0.028851,False,63.145218,62.967546,87.392765,87.204481,0.000389,0.000389
NORAD66741,BLACK KITE-1,8,1500,True,evaluated,318,318,0,0.0,166,92,60,stale_age_ridge,0.264439,0.293754,-11.086,closed,closed,closed,closed,closed,closed,0.211521,0.238628,0.027107,12.8154,-12.8154,22,38,0,0.366667,0.027107,0.010783,0.012957,0.042117,0.051894,1.0,0.086184,28,0.010058,0.047724,True,0.571786,0.61713,0.777442,0.81932,0.0,0.0
NORAD66741,BLACK KITE-1,24,1500,True,evaluated,397,392,5,1.2594,196,114,82,linear_bias_rate,0.840532,0.849226,-1.0343,closed,closed,closed,closed,closed,closed,0.8157,0.829295,0.013595,1.6667,-1.6667,37,45,0,0.45122,0.013595,0.017678,-0.001395,0.029218,0.439705,1.0,0.53963795,39,-0.004091,0.030426,False,2.193075,2.242764,2.871442,2.915927,0.0,0.0
NORAD66741,BLACK KITE-1,48,1500,True,evaluated,398,394,4,1.005,188,118,88,stale_age_ridge,2.156162,2.167336,-0.5182,closed,closed,closed,closed,closed,closed,2.40817,2.425318,0.017148,0.7121,-0.7121,34,54,0,0.386364,0.017148,0.014004,0.003999,0.031136,0.042211,1.0,0.07352884,42,0.004791,0.030244,True,6.514385,6.519047,7.994223,7.997111,0.0,0.0
NORAD66741,BLACK KITE-1,72,1500,True,evaluated,401,392,9,2.2444,181,124,87,linear_bias_rate,4.861438,4.853331,0.1668,closed,closed,closed,closed,closed,closed,4.881554,4.879562,-0.001992,-0.0408,0.0408,47,40,0,0.54023,-0.001992,-0.002475,-0.010907,0.006916,0.520292,1.0,0.6243504,41,-0.014692,0.009694,False,13.38284,13.39641,16.99964,17.013244,0.0,0.0
NORAD66741,BLACK KITE-1,96,1500,True,evaluated,403,391,12,2.9777,179,123,89,linear_bias_rate,9.476704,9.455004,0.229,closed,closed,closed,closed,closed,closed,8.604744,8.611699,0.006955,0.0808,-0.0808,46,43,0,0.516854,0.006955,-0.008182,-0.020153,0.036841,0.832258,1.0,0.89883864,43,-0.033207,0.047818,False,23.365696,23.379557,30.900229,30.911654,0.0,0.0
NORAD66741,BLACK KITE-1,168,1500,True,evaluated,405,388,17,4.1975,171,124,93,stale_age_ridge,27.381167,27.395535,-0.0525,closed,closed,closed,closed,closed,closed,29.743759,29.778344,0.034585,0.1163,-0.1163,41,52,0,0.44086,0.034585,0.061565,0.012253,0.057919,0.299732,1.0,0.4046382,43,0.000999,0.065394,True,82.313944,82.314015,107.419712,107.422846,0.001792,0.001792
NORAD68474,BLACK KITE-2,8,1500,True,evaluated,183,183,0,0.0,126,32,25,stale_age_ridge,0.219065,0.209263,4.4744,closed,closed,open,closed,closed,closed,0.217342,0.216866,-0.000476,-0.2191,0.2191,11,14,0,0.44,-0.000476,0.001826,-0.007841,0.006246,0.690038,1.0,0.76753616,13,-0.01018,0.008232,False,0.642302,0.642472,0.789865,0.789375,0.0,0.0
NORAD68474,BLACK KITE-2,24,1500,True,evaluated,229,229,0,0.0,145,45,39,ridge,0.62921,0.598054,4.9516,closed,closed,open,closed,closed,closed,0.780488,0.829394,0.048906,6.2661,-6.2661,10,29,0,0.25641,0.048906,0.083116,0.022678,0.071879,0.003378,0.108096,0.00793096,19,0.010938,0.080562,True,2.239747,2.395824,2.900696,3.076453,0.0,0.0
NORAD68474,BLACK KITE-2,48,1500,True,evaluated,221,221,0,0.0,138,45,38,ridge,1.136541,1.0851,4.5261,closed,closed,open,closed,closed,closed,1.744989,1.80571,0.060721,3.4797,-3.4797,11,27,0,0.289474,0.060721,0.126215,0.01855,0.09834,0.013853,0.41559,0.02992248,19,0.005252,0.110833,True,5.272336,5.474554,6.6654,6.889845,0.0,0.0
NORAD68474,BLACK KITE-2,72,1500,True,evaluated,223,223,0,0.0,141,44,38,stale_age_ridge,1.893882,1.842619,2.7068,closed,closed,closed,closed,closed,closed,2.558631,2.571839,0.013208,0.5162,-0.5162,16,22,0,0.421053,0.013208,0.009582,-0.021988,0.050097,0.417692,1.0,0.5385646,18,-0.026222,0.051822,False,7.831197,7.885371,9.298343,9.357885,0.0,0.0
NORAD68474,BLACK KITE-2,96,1500,True,evaluated,235,235,0,0.0,150,44,41,stale_age_ridge,2.492103,2.474698,0.6984,closed,closed,closed,closed,closed,closed,3.414934,3.423862,0.008928,0.2614,-0.2614,16,25,0,0.390244,0.008928,0.009092,-0.028373,0.045098,0.211024,1.0,0.30798097,19,-0.0319,0.053636,False,10.310188,10.347798,12.59909,12.652782,0.0,0.0
NORAD68474,BLACK KITE-2,168,1500,True,evaluated,241,241,0,0.0,153,46,42,stale_age_ridge,5.587662,5.578164,0.17,closed,closed,closed,closed,closed,closed,17.690783,17.687995,-0.002788,-0.0158,0.0158,21,21,0,0.5,-0.002788,-0.001077,-0.027879,0.02223,1.0,1.0,1.0,20,-0.034866,0.033356,False,53.332673,53.336664,72.435603,72.434539,0.000992,0.000992
