target_satellite,target_name,staleness_h,status,canonical_records,median_gap_h,epoch_start,epoch_end,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD66514,SENTINEL-6B,168,evaluated,727,5.621,2025-11-17T08:20:13.250976+00:00,2026-07-26T14:12:50.533056+00:00,1500.0,0.95,500.0,373,163,134,16,0,0,2.332,linear_bias_rate,,1.300264,1.410429,8.4725,closed,0.778237,0.943554,0.165317,21.2425,0.778237
NORAD66704,FLOCK 4H 1,8,evaluated,614,7.895,2025-12-18T03:19:14.696256+00:00,2026-07-26T11:05:43.209024+00:00,1500.0,0.95,500.0,275,105,72,1,0,0,0.221,stale_age_ridge,100.0,0.241628,0.26576,9.9872,closed,0.23766,0.272037,0.034377,14.4646,0.23766
NORAD66704,FLOCK 4H 1,24,evaluated,614,7.895,2025-12-18T03:19:14.696256+00:00,2026-07-26T11:05:43.209024+00:00,1500.0,0.95,500.0,357,125,99,0,0,0,0.0,stale_age_ridge,1000.0,0.760135,0.775872,2.0703,closed,0.883698,0.874451,-0.009247,-1.0464,0.883698
NORAD66704,FLOCK 4H 1,48,evaluated,614,7.895,2025-12-18T03:19:14.696256+00:00,2026-07-26T11:05:43.209024+00:00,1500.0,0.95,500.0,362,128,105,3,0,0,0.502,stale_age_ridge,1000.0,1.906867,1.943669,1.93,closed,2.128672,2.147719,0.019047,0.8948,2.128672
NORAD66704,FLOCK 4H 1,72,evaluated,614,7.895,2025-12-18T03:19:14.696256+00:00,2026-07-26T11:05:43.209024+00:00,1500.0,0.95,500.0,355,128,103,3,0,0,0.509,linear_bias_rate,,4.075125,4.068125,-0.1718,closed,4.173529,4.200975,0.027446,0.6576,4.173529
NORAD66704,FLOCK 4H 1,96,evaluated,614,7.895,2025-12-18T03:19:14.696256+00:00,2026-07-26T11:05:43.209024+00:00,1500.0,0.95,500.0,361,128,107,4,0,0,0.667,linear_bias_rate,,6.821142,6.841708,0.3015,closed,7.552705,7.607885,0.05518,0.7306,7.552705
NORAD66704,FLOCK 4H 1,168,evaluated,614,7.895,2025-12-18T03:19:14.696256+00:00,2026-07-26T11:05:43.209024+00:00,1500.0,0.95,500.0,338,128,108,16,0,0,2.712,stale_age_ridge,10.0,25.549213,25.508987,-0.1574,closed,22.841426,22.765815,-0.075612,-0.331,22.841426
NORAD66705,FLOCK 4H 2,8,evaluated,635,7.893,2025-12-18T17:33:03.551040+00:00,2026-07-26T13:34:20.480448+00:00,1500.0,0.95,500.0,291,113,71,3,0,0,0.628,linear_bias_rate,,0.264916,0.270762,2.2067,closed,0.260948,0.267495,0.006547,2.5087,0.260948
NORAD66705,FLOCK 4H 2,24,evaluated,635,7.893,2025-12-18T17:33:03.551040+00:00,2026-07-26T13:34:20.480448+00:00,1500.0,0.95,500.0,363,136,103,3,0,0,0.496,stale_age_ridge,1000.0,0.754164,0.763376,1.2214,closed,0.832382,0.845197,0.012816,1.5396,0.832382
NORAD66705,FLOCK 4H 2,48,evaluated,635,7.893,2025-12-18T17:33:03.551040+00:00,2026-07-26T13:34:20.480448+00:00,1500.0,0.95,500.0,369,137,104,6,0,0,0.974,stale_age_ridge,1000.0,1.962829,1.954249,-0.4371,closed,2.378153,2.361537,-0.016616,-0.6987,2.378153
NORAD66705,FLOCK 4H 2,72,evaluated,635,7.893,2025-12-18T17:33:03.551040+00:00,2026-07-26T13:34:20.480448+00:00,1500.0,0.95,500.0,367,137,103,8,0,0,1.301,stale_age_ridge,10.0,4.652394,4.627796,-0.5287,closed,5.28762,5.258837,-0.028784,-0.5444,5.28762
NORAD66705,FLOCK 4H 2,96,evaluated,635,7.893,2025-12-18T17:33:03.551040+00:00,2026-07-26T13:34:20.480448+00:00,1500.0,0.95,500.0,365,139,103,7,0,0,1.14,stale_age_ridge,1000.0,7.717516,7.697709,-0.2566,closed,7.395288,7.40693,0.011642,0.1574,7.395288
NORAD66705,FLOCK 4H 2,168,evaluated,635,7.893,2025-12-18T17:33:03.551040+00:00,2026-07-26T13:34:20.480448+00:00,1500.0,0.95,500.0,349,139,107,14,0,0,2.299,stale_age_ridge,0.01,25.129225,25.09383,-0.1409,closed,23.327804,23.240153,-0.087651,-0.3757,23.327804
