satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy,selection_reason,selected_val_mae_hz,gate_margin_hz,val_mae_zero,val_mae_mean_bias,val_mae_median_bias,val_mae_linear_age,val_mae_age_ridge,val_mae_deployable_ridge,test_mae_zero,test_mae_mean_bias,test_mae_median_bias,test_mae_linear_age,test_mae_age_ridge,test_mae_deployable_ridge
NORAD61594,ONEWEB-0015,48,150,False,evaluated,1664,1438,226,13.5817,620,419,399,age_ridge,1.761558,1.76294,-0.0784,closed,closed,closed,closed,closed,closed,1.890534,1.893247,0.002712,0.1435,-0.1435,195,204,0,0.488722,0.002712,0.00598,0.000112,0.005432,0.68884,1.0,0.78475443,126,-0.001146,0.006524,False,4.99969,5.001788,6.388532,6.390534,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",1.76294,-0.089459564,1.761558,1.76282,1.761969,1.762949,1.76294,1.841616,1.890534,1.892963,1.890399,1.893267,1.893247,1.984381
NORAD61594,ONEWEB-0015,48,500,False,evaluated,1664,1513,151,9.0745,692,421,400,age_ridge,2.001634,2.003246,-0.0806,closed,closed,closed,closed,closed,closed,1.954724,1.958164,0.00344,0.176,-0.176,183,217,0,0.4575,0.00344,0.001481,0.000947,0.00603,0.098822,1.0,0.14989854,126,2.4e-05,0.006873,True,5.199854,5.201894,6.733572,6.735548,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.003246,-0.101694118,2.001634,2.002559,2.001578,2.00331,2.003246,5.277725,1.954724,1.956426,1.954913,1.958302,1.958164,5.247399
NORAD61594,ONEWEB-0015,48,1500,True,evaluated,1664,1557,107,6.4303,736,421,400,age_ridge,2.001634,2.31225,-15.5182,closed,closed,closed,closed,closed,closed,1.954724,2.319954,0.36523,18.6845,-18.6845,121,279,0,0.3025,0.36523,0.076045,0.296206,0.431556,0.0,0.0,0.0,126,0.283642,0.454299,True,5.199854,5.602941,6.733572,7.120833,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.31225,-0.410698269,2.001634,2.021914,2.002409,2.338638,2.31225,14.43278,1.954724,1.96711,1.95624,2.351982,2.319954,14.361031
NORAD61594,ONEWEB-0015,48,3000,False,evaluated,1664,1582,82,4.9279,761,421,400,age_ridge,2.001634,3.825785,-91.1331,closed,closed,closed,closed,closed,closed,1.954724,3.693786,1.739063,88.9672,-88.9672,22,378,0,0.055,1.739063,1.873742,1.650228,1.835521,0.0,0.0,0.0,126,1.598875,1.87692,True,5.199854,7.088971,6.733572,8.484189,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",3.825785,-1.92423244,2.001634,3.823082,2.003009,3.826251,3.825785,30.271911,1.954724,3.68355,1.956987,3.694936,3.693786,30.460833
NORAD61594,ONEWEB-0015,72,none,False,evaluated,1656,1656,0,0.0,840,418,398,age_ridge,2.390593,8.240453,-244.7034,closed,closed,closed,closed,closed,closed,2.428928,8.618931,6.190002,254.845,-254.845,21,377,0,0.052764,6.190002,4.849236,5.708909,6.667704,0.0,0.0,0.0,125,5.68973,6.720079,True,6.419694,13.073837,8.210994,14.615818,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",8.240453,-5.969389896,2.390593,7.583747,2.402639,8.349638,8.240453,656.173974,2.428928,7.436341,2.442622,8.755467,8.618931,681.881582
NORAD61594,ONEWEB-0015,72,150,False,evaluated,1656,1373,283,17.0894,559,416,398,linear_age,2.091714,2.093497,-0.0852,closed,closed,closed,closed,closed,closed,2.428928,2.429453,0.000525,0.0216,-0.0216,186,212,0,0.467337,0.000525,0.004369,-0.001407,0.002525,0.210102,1.0,0.29241,125,-0.002365,0.00343,False,6.419694,6.417114,8.210994,8.208751,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.093497,-0.106368833,2.091714,2.093838,2.09254,2.093497,2.093497,2.55632,2.428928,2.429879,2.42921,2.429453,2.429453,2.835029
NORAD61594,ONEWEB-0015,72,500,False,evaluated,1656,1453,203,12.2585,638,417,398,age_ridge,2.163416,2.204294,-1.8895,closed,closed,closed,closed,closed,closed,2.428928,2.473539,0.044611,1.8367,-1.8367,176,222,0,0.442211,0.044611,0.049652,0.028922,0.06098,0.023972,1.0,0.04371644,125,0.021367,0.06725,True,6.419694,6.496034,8.210994,8.282265,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.204294,-0.149048616,2.163416,2.204065,2.163979,2.205179,2.204294,3.348088,2.428928,2.470813,2.42909,2.474467,2.473539,3.74079
NORAD61594,ONEWEB-0015,72,1500,True,evaluated,1656,1502,154,9.2995,686,418,398,age_ridge,2.390593,2.414531,-1.0014,closed,closed,closed,closed,closed,closed,2.428928,2.45537,0.026441,1.0886,-1.0886,187,211,0,0.469849,0.026441,0.048293,0.01412,0.038607,0.248925,1.0,0.33773744,125,0.008,0.044214,True,6.419694,6.469402,8.210994,8.257134,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.414531,-0.143467987,2.390593,2.417135,2.390144,2.414566,2.414531,16.143278,2.428928,2.456689,2.428975,2.455486,2.45537,16.638557
NORAD61594,ONEWEB-0015,72,3000,False,evaluated,1656,1531,125,7.5483,715,418,398,age_ridge,2.390593,2.674791,-11.8882,closed,closed,closed,closed,closed,closed,2.428928,2.649469,0.220541,9.0798,-9.0798,118,280,0,0.296482,0.220541,0.192383,0.183521,0.257777,0.0,0.0,0.0,125,0.164557,0.276683,True,6.419694,6.621834,8.210994,8.382529,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",2.674791,-0.403727835,2.390593,2.638552,2.390447,2.678746,2.674791,34.35458,2.428928,2.627222,2.429827,2.652963,2.649469,34.904085
NORAD61594,ONEWEB-0015,96,none,False,evaluated,1680,1680,0,0.0,856,420,404,age_ridge,2.667518,10.195398,-282.2054,closed,closed,closed,closed,closed,closed,3.27862,10.41657,7.13795,217.712,-217.712,23,381,0,0.056931,7.13795,6.646503,6.593906,7.711949,0.0,0.0,0.0,127,6.461765,7.895818,True,8.638962,16.205731,10.77105,17.874291,0.0,0.0,"argmin val MAE over M_L=['linear_age', 'age_ridge', 'deployable_ridge']",10.195398,-7.661255811,2.667518,7.439193,2.677964,10.390088,10.195398,1123.135272,3.27862,7.85775,3.284855,10.629229,10.41657,1161.24051
